Gn,mean,std
WWC2,18.334,
SPEN,18.325,
KATNAL2,18.324,
RUNDC1,18.323,
GALNT10,18.323,
C5AR1,18.322,
PLEKHA5,18.319,
SLC25A44,18.317,
TCHH,18.302,
CGREF1,18.292,
LDB1,18.29,
SDHAF1,18.289,
SCN4B,18.283,
FGL2,18.283,
CRISP1,18.282,
SLC16A7,18.28,
HES6,18.273,
SNAPC3,18.273,
PRPF18,18.270666666666667,11.812221058434917
TASP1,18.269,
VCPKMT,18.267,
UHRF1BP1L,18.262,
ADORA2B,18.258,
TMEM131,18.257,
MFSD13A,18.257,
GIPC3,18.256,
TEPSIN,18.255,
KLHDC8A,18.252,
SIGIRR,18.248,
LNP1,18.247,
SAMD1,18.247,
JOSD1,18.245,
TMEM143,18.245,
WLS,18.244,
PIBF1,18.235,
HMGB4,18.223,
IZUMO1,18.222,
CHD6,18.211,
RFLNB,18.21,
EPG5,18.21,
KMT5A,18.198,
WDR35,18.197,
SETD1B,18.191,
IFT57,18.188,
FAM160A2,18.188,
PATJ,18.185,
TRIM13,18.184,
ATP8B1,18.181,
NPRL2,18.181,
NPHS2,18.178,
FAM199X,18.177,
RELL1,18.173,
KDELR3,18.171,
IL17F,18.169,
DDO,18.167,
UBXN2A,18.166,
GAS1,18.16,
HTRA1,18.155,
NCF4,18.153,
OR8K3,18.151,
MRM1,18.15,
MSL3,18.147,
ITGA4,18.142,
STMN4,18.142,
OR51S1,18.135,
AKAP9,18.133,
WFDC1,18.131,
SHARPIN,18.129,
WDR13,18.128,
FAM104B,18.127,
TNIK,18.126,
TMEM251,18.126,
CLEC16A,18.125,
PKHD1,18.119,
GARRE1,18.115,
R3HCC1L,18.112,
LIPC,18.112,
CENPI,18.111,
RCCD1,18.11,
AP4B1,18.106,
SLC35F3,18.095,
CENPF,18.093,
TARS3,18.085,
KCNC3,18.082,
SLC16A4,18.082,
RABGEF1,18.0715,2.438811288312401
AP4E1,18.071,
SLC13A3,18.07,
FER,18.067,
KHNYN,18.066,
KATNA1,18.064,
ZER1,18.062,
FRAT1,18.058,
ZNF655,18.057,
GTF3C6,18.053,
HOXC12,18.049,
INSR,18.046,
INTS12,18.042,
SLC35G2,18.035,
ARSG,18.034,
FAM117B,18.031,
CEBPE,18.026,
C8orf37,18.026,
ELAVL4,18.025,
GTF2H2C_2,18.013,
SIK1,18.003,
SIK1B,18.003,
TMEM120B,18.002,
SPRYD3,17.996,
LCE1C,17.99,
IMMP2L,17.989,
ILRUN,17.984,
CLMP,17.983,
ERBB2,17.981,
DNMBP,17.974,
TCP11L2,17.974,
HOXB13,17.969,
HABP4,17.968,
RAB3IP,17.965,
ABITRAM,17.957,
CHST3,17.953,
RNF175,17.952,
FBXO9,17.946,
ORC1,17.945,
GYS2,17.945,
MBIP,17.944,
C2orf80,17.943,
GKAP1,17.938,
RBM18,17.937,
IRAK1,17.933,
IRF9,17.928,
FAM83H,17.922,
ADNP2,17.921,
TLR5,17.917,
TP53I13,17.917,
IQGAP3,17.915,
GTSF1L,17.91,
CCDC130,17.909,
THAP6,17.907,
FAM117A,17.897,
MAP4K1,17.897,
ZDHHC5,17.89,
CMPK2,17.878,
NOTCH2NLA,17.878,
LPAR2,17.878,
POLE,17.877,
GRAMD1B,17.872,
TCEA3,17.87,
ETV6,17.87,
METTL22,17.869,
ZBED1,17.861,
CYS1,17.855,
PRRC2B,17.85,
EMILIN3,17.85,
GATA4,17.849,
BCL2L15,17.849,
GJC3,17.848,
FDCSP,17.827,
C2CD4D,17.826,
EHMT1,17.817,
FBN2,17.804,
POLI,17.8,
FAM120B,17.795,
STIM2,17.793,
CRTC1,17.79,
STXBP4,17.786,
STYX,17.779,
FOSB,17.775,
ARRDC4,17.773,
RAPH1,17.762,
PRRT3,17.758,
PTPRS,17.754,
IFT140,17.753,
EHF,17.753,
BMT2,17.752,
SPIRE1,17.751,
EMCN,17.749,
SC5D,17.745,
ABL1,17.744,
CYP24A1,17.742,
TBC1D22B,17.737,
CENPT,17.736,
TRIM22,17.733,
ARL6IP6,17.728,
P2RY13,17.727,
TENT2,17.727,
E2F4,17.723,
C1orf226,17.717,
C9orf153,17.713,
NDFIP2,17.706,
UGT1A8,17.694,
SELENOK,17.694,
C17orf102,17.693,
C2CD2L,17.691,
NECAB1,17.691,
NAA11,17.687,
VPS8,17.686,
TP53AIP1,17.686,
RETNLB,17.685,
MTM1,17.678,
CREB5,17.672,
PROSER3,17.669,
DIRAS2,17.669,
LPIN2,17.659,
TRIM61,17.651,
USP33,17.65,
INHBB,17.642,
PIP5K1C,17.641,
SLC13A4,17.64,
LRRC58,17.636,
BCL3,17.61,
CEP164,17.608,
AP5S1,17.603,
FDX2,17.601,1.0026774157225238
TACR3,17.597,
TCEA2,17.596,
STK32C,17.591,
C17orf99,17.584,
SKP2,17.582,
ALG1L,17.579,
FKBP1B,17.578,
ELAPOR1,17.57,
TMEM62,17.568,
JDP2,17.562,
MSANTD3-TMEFF1,17.56,
TMEFF1,17.56,
DENND4A,17.559,
AK5,17.557,
HSPB9,17.557,
PNRC1,17.553,
CHST13,17.55,
TP53INP2,17.549,
OR5F1,17.548,
RHBDD1,17.543,
DOCK11,17.543,
SPATA33,17.541,
AKR1E2,17.539,
SGO1,17.53,
SOS1,17.53,
CCDC102B,17.528,
GPCPD1,17.527,
CERS1,17.5235,2.6467006819812484
IRF2,17.517,
TTC8,17.513,
IAPP,17.51,
XP32,17.508,
P2RX5,17.5,0.4885621761864076
KIF3C,17.5,
PRKN,17.497,
CMTM2,17.497,
C9orf163,17.489,
ANKRD50,17.488,
SLC9A7,17.487,
SLC18A3,17.487,
RAB38,17.485,
RTL8C,17.485,
PEX11A,17.485,
GREB1,17.483,
RFNG,17.474,
AKAP13,17.469,
RPP21,17.4595,4.594072757368998
GSC,17.454,
ZZEF1,17.443,
FLYWCH1,17.433,
OR1M1,17.415,
DOCK4,17.414,
HACD1,17.411,
NAA16,17.408,
SLC9A9,17.406,
COLEC11,17.401,
CAMSAP2,17.4,
ZBTB40,17.383,
RIMKLB,17.378,
PALM2AKAP2,17.3705,9.20865161139241
RAET1E,17.369,
SHISA3,17.366,
TNFRSF1B,17.352,
ZNF687,17.349,
IL20,17.337,
HPS1,17.336,
PHF1,17.333,
LCE1E,17.319,
ANGEL2,17.313,
OSBP2,17.312,
UVRAG,17.309,
MYO19,17.307,
TFR2,17.302,
SEPTIN12,17.3,
WDR19,17.298,
INO80,17.298,
KRTAP16-1,17.29,
UBIAD1,17.29,
DRD1,17.285,
CENPBD1,17.284,
ST20-MTHFS,17.283,
PLSCR4,17.275,
SINHCAF,17.271,
ESPN,17.27,
OR5T3,17.27,
POM121C,17.265,5.2071343366577345
BCDIN3D,17.264,
ARV1,17.263,
KLHL11,17.262,
PRR7,17.249,
N4BP1,17.239,
KANK3,17.239,
WDR7,17.236,
KDM4B,17.236,
KATNBL1,17.235,
TRIB3,17.232,
HTR1F,17.232,
SEPSECS,17.222,
PRR5-ARHGAP8,17.222,0.05091168824542958
ARHGAP8,17.221999999999998,0.035999999999999144
DNAJC4,17.221,
RBSN,17.211,
ZNF69,17.206,
SDC3,17.197,
LPIN3,17.197,
CEP41,17.19,
THADA,17.187,
BOD1,17.187,
FAM234A,17.175,
PPP1R3A,17.167,
TUT1,17.162,20.90490487899909
MTFMT,17.161,
ASB12,17.157,
KIF13B,17.157,
DENND6B,17.151,
RECQL5,17.144,
SMIM10,17.143,
PLEKHA3,17.132,
BMP3,17.127,
FAM102B,17.124,
EVA1A,17.123,
TM6SF1,17.121,
CBX6,17.119,
NACAD,17.117,
TCHP,17.113,
SKA1,17.113,
TLR2,17.11,
KCTD3,17.104,
MGA,17.104,
HDAC11,17.1,
OR5R1,17.1,
AMBRA1,17.092,
GAS2L1,17.086,
RAB20,17.086,
IFNA2,17.082,
HLA-DMB,17.0785,0.5197234841721158
TMEM14A,17.078,
SPTY2D1,17.077,
SHQ1,17.071,
RIPK2,17.065,
PROP1,17.058,
NUDT12,17.04,
PIKFYVE,17.033,
CDC25C,17.026,
PSTPIP1,17.022,
PKIB,17.013,
MAP3K4,17.01,
SAMD13,17.005,
ZDBF2,17.002,
GPR62,17.001,
ANKRD53,16.997,
SEBOX,16.996,
GALC,16.992,
JMJD7-PLA2G4B,16.991,
DUOXA2,16.987,
ARHGEF28,16.984,
PICK1,16.975,
SNAI3,16.974,
ZBTB1,16.971,
KIAA1191,16.97,
FURIN,16.97,
SLC16A12,16.967,
PDGFA,16.965,
MAP4K3,16.963,
TMED6,16.961,
FAM76B,16.96,
SLC20A2,16.959,
DLGAP4,16.958,
BRPF1,16.952,
GUCY1A1,16.948,
KNL1,16.942,
ITGA11,16.941,
POU4F2,16.932,
NPPC,16.932,
BMP1,16.93,
ABCA3,16.929,
MYH7B,16.927,
C1QTNF3,16.921,
C1QTNF3-AMACR,16.921,
INPP5B,16.914,
HEYL,16.906,
CCDC32,16.903,
ARL4A,16.898,
DENND4C,16.896,
WWC3,16.875,
BTK,16.87,
ADORA2A,16.868,
RARA,16.866,
FGGY,16.862,
ASB16-AS1,16.861,
CHD2,16.854,
CA9,16.851,
TMEM38A,16.849,
P3H2,16.848,
PHF8,16.847,
COL4A3,16.844,
ATAD3C,16.835,
LRRC3C,16.833,
DCAF4L2,16.833,
MIB1,16.828,
TGIF1,16.826,
TCEANC2,16.826,
HBP1,16.823,
COA8,16.82,10.905000779458936
DMXL2,16.819,
RIC8B,16.819,
TRIM8,16.818,
AFAP1L2,16.818,
GOLGA6C,16.818,
FBXW8,16.815,
RBIS,16.807,
NFATC1,16.804,
ARHGAP21,16.802,
MYB,16.785,
SUV39H1,16.785,
JTB,16.783,
ARHGEF40,16.781,
SLC3A1,16.777,
TMEM231,16.771,
PDE1C,16.769,
ZCCHC7,16.764,
KIF20B,16.762,
CDKN2B,16.762,
UBR3,16.762,
TTC39A,16.759,
GRAP,16.756999999999998,6.535080871726074
FLCN,16.7545,0.8761053018901304
ZFYVE19,16.752,
PRR5,16.747333333333334,0.4709876148407039
CNEP1R1,16.744,
PPAN,16.741,
FBXO17,16.738500000000002,3.560282643274266
ERCC6,16.738,
MIP,16.732,
B4GALT5,16.729,
SLC1A6,16.719,
PEX11G,16.715,
RCAN1,16.714,
ABCC6,16.714,
KATNB1,16.71,
MUS81,16.705,
KCNN4,16.705,
ZHX2,16.704,
FLVCR2,16.701,
STARD7,16.699,
DDX43,16.695,
TPPP2,16.695,
CETN1,16.687,
TTC21B,16.687,
TANC2,16.685,
KDM3A,16.682,
TMEM225,16.675,
PTPRK,16.674,
STARD3NL,16.673,
ZBTB4,16.672,
ACSL6,16.663,
ACTL8,16.662,
H1-7,16.658,
DPY19L4,16.652,
KAT6A,16.652,
TMEM35B,16.651,
KRTAP4-11,16.648,
PALD1,16.642,
SIPA1L1,16.638,
RIT2,16.636,
NECAB3,16.631,
TUBE1,16.62,
SLC25A35,16.618,
GIMAP8,16.605,
WDCP,16.601,
BRPF3,16.601,
TTC17,16.599,
TVP23B,16.595,
NT5C3B,16.595,
OR10K2,16.593,
IPCEF1,16.591,
CYLD,16.587,
AZI2,16.585,
TBC1D2B,16.582,
LCE3E,16.58,
TMEM182,16.58,
CPLX3,16.574,
AKT3,16.573,
NRP2,16.569,
KIF13A,16.564,
RGS2,16.564,
HOXA11,16.563,
TMEM255A,16.557,
KATNAL1,16.553,
GPC3,16.549,
SLC12A5,16.547,
ATP12A,16.541,
IL1RAP,16.537,
RNF225,16.537,
MPDZ,16.533,
SERAC1,16.532,
MBD6,16.517,
RPS6KB2,16.513,
ADAT3,16.511,
OBSCN,16.509,
EMX1,16.505,
SEMA4D,16.502,
POMT1,16.499,
KIF14,16.499,
DOCK10,16.491,
TLDC2,16.489,
SWSAP1,16.485,
SLC25A42,16.481,
RGS6,16.472,
TMCC1,16.471,
TNFSF9,16.47,
BRCA2,16.468,
GPC2,16.468,
PI4KB,16.462,
CD22,16.457,
MYO5C,16.457,
APOL3,16.455,
TAB3,16.454,
PTH,16.454,
PRKAG2,16.454,
GAGE12E,16.452,
SSBP3,16.447,
IFT46,16.443,
DENND1A,16.443,
C1QTNF5,16.441,
RTL8B,16.438,
RAET1L,16.436,
GNPTAB,16.428,
PCYT1B,16.428,
RAD54B,16.426,
RNF167,16.425,
FBLN7,16.425,
WASH4P,16.422,
PLXNA4,16.42,
PRSS27,16.417,
FAM204A,16.411,
USP38,16.405,
RAB30,16.404,
PNISR,16.402,
FOXP1,16.393,
OR2T11,16.393,
MN1,16.369,
MTMR10,16.367,
OR2G3,16.365,
DENND6A,16.36,
FXYD4,16.351,
TXNRD3NB,16.35,
TMPRSS13,16.333,
GTF2H2C,16.331,2.378707211911548
RAB6D,16.33,
RAB6C,16.33,
HDAC8,16.329,
FKBPL,16.328,
CLEC11A,16.327,
CD37,16.318,
GAS7,16.312,
HEATR5A,16.312,
DRAM2,16.302,
TAP2,16.296,
AJUBA,16.293,
TBX21,16.28,
PAN3,16.279,
HBQ1,16.277,
PCGF3,16.274,
CYTH2,16.272,
RFESD,16.27,
LINGO1,16.268,
GPR25,16.261,
CD209,16.258,
ZBTB10,16.254,
USP1,16.253,
HEG1,16.25,
NBR1,16.242,
BAMBI,16.241,
TRIM44,16.24,
C21orf91,16.238,
EURL,16.238,
TAC1,16.235,
SPINK8,16.232,
C6orf136,16.231,
LRRN1,16.23,
IFT122,16.228,
COP1,16.228,
FBXW9,16.226,
ERO1B,16.225,
MFSD4A,16.219,
SLC40A1,16.219,
AGMO,16.217,
CLMN,16.21,
ING3,16.21,
HHLA3,16.21,
ZFYVE1,16.208,
PMF1-BGLAP,16.204,
PMF1,16.204,
IMPG2,16.203,
PTPN14,16.2,
HAUS7,16.199,
DOP1B,16.189,
C1QTNF2,16.181,
MED13,16.174,
BIRC8,16.168,
SEPTIN4,16.167,
AEBP2,16.156,
CDK16,16.139,
STK33,16.137,
RAB28,16.135,
USF2,16.123,
VLDLR,16.12,
ZDHHC20,16.113,
EDN3,16.11,
KIRREL1,16.11,
BLM,16.108,
TEF,16.105,
PLA2G4C,16.104,
MSLN,16.092,
CBY1,16.086,
DPH3,16.084,
TRAPPC2B,16.082,
TRAPPC2,16.082,
RNF130,16.081,
RC3H2,16.079,
NEUROG1,16.064,
RASIP1,16.06,
CNOT8,16.057,
TBC1D1,16.045,
REPIN1,16.036,
FKRP,16.036,
KLHL12,16.033,
RPP25,16.028,
ADCY6,16.021,
NEURL4,16.02,1.3194612536940975
C6orf47,16.019,
PARD3,16.017,
TECPR1,16.009,
SMCO3,16.009,
TAX1BP1,16.008,
MIS18BP1,16.007,
C4orf3,16.007,
IL1B,15.998,
PLEKHA7,15.998,
VPS54,15.994,
TMCO6,15.993,
PRKCG,15.991,
SLCO4A1,15.989,
MTG1,15.986,
PHLDB2,15.983,
IER2,15.982,
PAN2,15.977,
ITGB1BP1,15.976,
CEP120,15.975,
ZFP91-CNTF,15.974,
ZFP91,15.974,
KRTAP9-4,15.969,
KIF5A,15.969,
TMCO3,15.967,
ETS1,15.964,
RNF187,15.959,
MAGEH1,15.954,
UGT2B11,15.953,
IPP,15.953,
KLHDC2,15.953,
MTSS1,15.952,
GSDMB,15.944,
TAZ,15.942,
NEU3,15.942,
PEX1,15.928,
MEX3D,15.917,
KMT2B,15.911,
THEMIS,15.904,
SETD2,15.901,
BBS9,15.9,
TEAD4,15.894,
C4orf51,15.887,
PRSS23,15.881,
ST3GAL6,15.879,
PRKCQ,15.877,
UBTD2,15.875,
TSPAN11,15.874,
PAFAH2,15.872,
NMRK1,15.871,
FAM131C,15.867,
DTWD2,15.862,
FAM221A,15.855,
PPAN-P2RY11,15.831,1.2869343417595167
TRAF6,15.827,
ENPP2,15.825,
TGFA,15.821,
FAS,15.821,
NKAIN3,15.82,
SLC50A1,15.811,
RASL11B,15.805,
LRIG1,15.804,
SYNGAP1,15.802,
NKIRAS1,15.802,
NECAB2,15.799,
CAMKMT,15.795,
POPDC3,15.793,
FANCC,15.789,
ERICH4,15.788,
JADE2,15.786,
EVI5L,15.785,
ARNTL,15.78,
TRIM63,15.779,
BARHL2,15.778,
TRPV2,15.778,
TMCO4,15.759,
TXNDC11,15.757,
CD180,15.752,
TIMM10B,15.75,
MAD2L1BP,15.748,
OPN1MW,15.745,
TRIM16,15.736666666666666,2.2103362489298615
ZFYVE27,15.736,
VSIG10L,15.719,
RNASE13,15.711,
MTERF1,15.708,
C9orf139,15.704,
MCHR1,15.701,
PSG8,15.701,
SLC2A13,15.7,
SORL1,15.699,
ZC3H10,15.697,
SLC17A5,15.696,
MTHFSD,15.695,
SHOX,15.687,
ZNRF1,15.682,
ERICH1,15.682,
TNFRSF9,15.68,
TBC1D16,15.679,
FANCF,15.677,
MYADML2,15.677,
FTMT,15.676,
KIF6,15.672,
RNF186,15.668,
CLDN17,15.656,
ARX,15.656,
SHISA4,15.655,
RAB9B,15.654,
ASNSD1,15.653,
CRH,15.65,
MMP1,15.643,
FOXD4L1,15.643,
GPRASP2,15.642,
KLHL26,15.642,
TIGD2,15.642,
DDX60,15.64,
BRCA1,15.635,
TRIM5,15.635,
HTR3C,15.632,
RRAGD,15.631,
TSPAN33,15.628,
ADORA1,15.625,
HYAL1,15.623,
MARK3,15.619,
INKA1,15.619,
GRTP1,15.616,
AQP6,15.611,
ATG2B,15.611,
DOCK6,15.597,
NPY4R,15.592,
ZNF106,15.591,
COQ10A,15.59,
BTC,15.588,
ARHGAP10,15.588,
LRMDA,15.585,
NBEAL1,15.584,
KLF13,15.582,
DNAJC24,15.579,
SLC25A27,15.574,
ATOH1,15.566,
UGT8,15.557,
KCNMA1,15.555,
C11orf86,15.553,
DERPC,15.553,
CXCL3,15.55,
ESRP2,15.546,
PATE3,15.542,
CLEC1B,15.537,
LYPD1,15.536,
GFOD2,15.533,
ALK,15.532,
PGS1,15.527,
RASSF3,15.521,
POT1,15.51,
SLC11A2,15.505,
OSBPL5,15.504,
MARVELD1,15.502,
DOCK9,15.498,
SLA2,15.49,
RGS7,15.487,
BHLHB9,15.486,
PUSL1,15.484,
GSTO2,15.48,
TRDMT1,15.475,
ING4,15.472,
FRMD6,15.458,
PHKA1,15.457,
MEIS2,15.457,
PRR25,15.456,
RNF216,15.453,
PSG6,15.452,
ST18,15.449,
NXT2,15.445,
HPSE2,15.442,
ZBTB3,15.44,
OR3A3,15.44,
INSL3,15.438,
SAMD5,15.431,
NEK3,15.431,
KCTD8,15.429,
DBF4,15.42,
SMIM19,15.408,
OR8A1,15.407,
TSC22D3,15.406,
AEN,15.399,
TBX3,15.394,
CHTF8,15.394,
TSPAN31,15.393,
HES5,15.392,
PRR18,15.39,
ABCD4,15.388,
PDE6B,15.386,
RAI2,15.386,
LY6G5C,15.385,
CEP170B,15.384,
TRAF3IP1,15.379,
WDFY2,15.373,
ASAP3,15.37,
DCAF8,15.369,
CHPF2,15.341,
GRK5,15.34,
LARP1B,15.334,
RUBCN,15.332,
CCDC138,15.331,
TRIM10,15.327,
HECTD4,15.327,
DEAF1,15.326,
PYGO1,15.322,
AKNA,15.32,
PGBD5,15.317,
STX16-NPEPL1,15.316,
STX16,15.316,
POLG2,15.314,
CEP350,15.312,
MAGI3,15.311,
CCN2,15.305,
PLD6,15.304,
SMPDL3A,15.289,
LILRA3,15.289,
L3MBTL3,15.2805,3.4061333649755996
ASB1,15.278,
NAV1,15.275,
CELA1,15.273,
C22orf42,15.271,
TMEM63A,15.271,
GPR150,15.266,
SCML1,15.265,
CREBBP,15.262,
TTC3,15.261,
CHI3L2,15.249,
PKD2,15.245,
C2orf83,15.244,
FAM133A,15.236,
SLC6A17,15.234,
GBP5,15.228,
ATG13,15.225,
IFT88,15.225,
ARL10,15.224,
ABCC2,15.222,
RASAL2,15.222,
TLX2,15.219,
RAD51B,15.217,
C11orf53,15.198,
LMF1,15.184,
DNAJB5,15.174,
GRAMD1A,15.168,
BMERB1,15.167,
NUMBL,15.161,
ENTPD3,15.152,
PPP2R3C,15.145,
JPH1,15.139,
TRAPPC10,15.138,
CARD8,15.137,
DAPK1,15.134,
GRB7,15.133,
ALPG,15.131,
ZWINT,15.127,
LIF,15.127,
EYA4,15.125,
ARHGAP9,15.124,
FZD4,15.119,
LHFPL5,15.119,
ZNF358,15.115,
B3GALNT2,15.113,
KRTCAP3,15.112,
JMY,15.11,
TNFRSF6B,15.108,
COQ2,15.105,
SNRNP48,15.103,
ACP7,15.098,
RSPO3,15.096,
COLGALT2,15.093,
FAM174B,15.092,
CTDSP1,15.079,
GNAT3,15.078,
PTGES3L,15.073500000000001,17.98243255235509
BRWD1,15.068,
CLEC6A,15.062,
KPNA5,15.062,
PSPN,15.053,
MGAT5B,15.053,
FAM110C,15.043,
SH2B2,15.041,
SLC7A2,15.039,
MXD1,15.035,
BCOR,15.035,
SYT8,15.032,
PPM1L,15.031,
KLHL36,15.029,
SOCS1,15.025,
SMAD6,15.023,
RIC3,15.022,
FAM104A,15.02,
PACS2,15.016,
C2orf48,15.015,
NFKBID,15.013,
FAM168A,15.011,
VASH2,15.005,
GLP2R,15.003,
ATG4A,14.996,
SMIM40,14.994,
DAXX,14.994,
GATA3,14.983,
KDM5B,14.98,
TMEM39B,14.976,
MYORG,14.973,
GAGE2C,14.968,
FAM209B,14.963,
C16orf54,14.963,
DHRS4-AS1,14.945,
TMEM59,14.943,
NTRK3,14.94,
MOXD1,14.939,
KCNA4,14.935,
ZC4H2,14.934,
HERPUD2,14.932,
TCHHL1,14.93,
EIF2AK3,14.927,
CYP1B1,14.926,
WNT11,14.926,
SP140L,14.922,
P2RY11,14.921,
TAF1,14.913,
ANKH,14.913,
CYTH3,14.907,
MTSS2,14.907,
CLDN2,14.904,
PRRX1,14.886,
C7orf33,14.886,
KLHDC10,14.881,
BBS2,14.878,
MAGEB1,14.877,
PDE3B,14.876,
TAS2R7,14.871,
SLC66A3,14.865,
ARHGEF19,14.853,
SYNC,14.849,
PCSK2,14.842,
TNFRSF25,14.84,
GABRA4,14.839,
CLDN8,14.838,
OTX2,14.835,
LCE1B,14.835,
C1orf53,14.833,
USP46,14.832,
OR2T2,14.832,
OR2T35,14.83,
MOV10L1,14.827,
LMO3,14.826,
FAM222A,14.818,
IL17B,14.816,
MST1L,14.813,
DOT1L,14.813,
EEPD1,14.812,
AMOTL1,14.798,
FAT1,14.796,
RBL1,14.792,
CHRNA5,14.791,
RHBDD3,14.79,
UGT1A5,14.783,
SSC5D,14.779,
TUSC2,14.777,
OSER1,14.772,
EPS8L1,14.765,
DGKZ,14.759,
FBH1,14.753,
BRD1,14.752,
DMP1,14.75,
OTOR,14.741,
COBL,14.739,
SLC30A3,14.73,
THSD4,14.729,
FAM89B,14.717,
IFRD2,14.708,
BLID,14.708,
TOP1MT,14.697,
SAP30L,14.696,
WDR86,14.696,
ADA2,14.695,
BICC1,14.687,
FBXL4,14.684,
SP110,14.68,
LOXL2,14.673,
SLC2A6,14.666,
ZACN,14.666,
SERPINE3,14.665,
HAVCR1,14.661,
CELF6,14.652,
HLCS,14.651,
SLC38A4,14.648,
BUB1,14.639,
SP4,14.634,
C12orf42,14.63,
CROCC,14.629,
RETREG1,14.627,
SFTPD,14.626,
UGCG,14.625,
C17orf50,14.622,
RASSF7,14.617,
EPHB2,14.614,
HOMER2,14.607,
CASP12,14.605,
FAM156A,14.602,
FAM156B,14.602,
MSL2,14.601,
SLC2A4,14.596,
SPIN4,14.593,
CTSF,14.586,
KIF1A,14.586,
CEP250,14.585,
SUPT3H,14.579,
BPTF,14.577,
SMYD4,14.569,
CCNDBP1,14.565,
SLC10A7,14.563,
TMEM242,14.561,
GLCCI1,14.559,
AKAP3,14.554,
OR6X1,14.543,
ARMCX2,14.539,
OSM,14.536,
TXNDC16,14.534,
CYP2C18,14.533,
SLAMF6,14.532,
SLC17A6,14.529,
LINC02877,14.528,
EFCAB14,14.523,
TCP10L3,14.519,4.729130152575629
RAB37,14.518,
LMTK2,14.515,
TOB2,14.509,
PPP2R2B,14.508,
IL31,14.5,
GJD2,14.5,
LRP8,14.498,
CCL13,14.495,
LIME1,14.495,
RPP38-DT,14.492,
ROR2,14.475,
FAM166B,14.467,
TNFRSF10D,14.461,
FAM71A,14.458,
C2CD4C,14.457,
ACTL7A,14.457,
CNTROB,14.456,
NEK2,14.456,
PDE1A,14.45,
MICALL2,14.448,
STARD5,14.445,
PTP4A3,14.443,
SOX1,14.442,
PTGDR,14.44,
PTOV1,14.435,
MIA2,14.4315,5.9870731163064965
ZKSCAN8,14.427,
UBN1,14.426,
CSRNP3,14.424,
CAPN15,14.423,
OTUB2,14.421,
L3MBTL4,14.419,
PLD2,14.418,
MAFK,14.403,
ZNF584,14.4,
CXCL1,14.398,
CCL8,14.398,
LAYN,14.387,
SOGA1,14.386,
SMAD5,14.385,
PHF19,14.385,
AQP11,14.382,
WDTC1,14.381,
SESTD1,14.378,
HACD4,14.376,
FAM120C,14.373,
TAAR5,14.372,
FBXL3,14.37,
CRHR1,14.366,
PIMREG,14.364,
KIF16B,14.362,
ODF2L,14.356,
OR2T12,14.353,
C19orf47,14.351,
OR8U1,14.341,
MANSC1,14.34,
SEL1L3,14.34,
STK17A,14.339,
C9orf129,14.337,
TMEM248,14.335,
APBB1,14.334,
CKLF-CMTM1,14.3265,4.885400751217856
KCNN2,14.326,
JOSD2,14.322,
ANKRD60,14.32,
FAM110B,14.32,
GRAMD4,14.32,
LYG1,14.318,
GPR107,14.314,
ABHD2,14.314,
GGT7,14.305,
SPANXN1,14.303,
BRD2,14.298,
PDE8A,14.296,
SLC5A9,14.286,
E2F6,14.282,
TFAP2D,14.275,
RABL2A,14.273499999999999,0.10818733752154273
TRIM42,14.255,
ALLC,14.248,
MYBPC2,14.246,
KDM6A,14.239,
MITF,14.237,
GGTLC1,14.236,
SOX7,14.235,
PRR34,14.232,
OR4S1,14.232,
UNKL,14.231,
SNRK,14.227,
TARBP1,14.226,
EML5,14.219,
COL5A1,14.218,
SMCP,14.216,
SFT2D1,14.203,
ZNF276,14.201,
ADM5,14.199,
RABL2B,14.196,0.1545024271654005
JAZF1,14.192,
OTUD5,14.191,
PANK1,14.186,
APOBEC3A,14.185,
GGNBP2,14.18,
ZKSCAN5,14.178,
FILIP1L,14.176,
FOXJ2,14.173,
CCDC82,14.171,
HDGFL1,14.167,
HIGD1C,14.167,
ZNF609,14.1665,9.931314741765059
FAM9C,14.164,
INPP5F,14.163,
MFSD14C,14.159,
TMEM200C,14.151,
SLC35D3,14.142,
SPRED3,14.142,
ITSN1,14.142,
STMN3,14.139,
CCZ1,14.139,
CCZ1B,14.139,
OTOL1,14.138,
IL6ST,14.138,
HOXD9,14.137,
OR5M8,14.133,
KCTD2,14.133,
GLIPR1L2,14.13,
ZNF581,14.128,
ZFX,14.123,
C1D,14.122,
UNC13B,14.115,
SLX4,14.115,
FOSL1,14.114,
SLC25A41,14.106,
STEAP1B,14.104,
DIPK2B,14.1,
SLC22A2,14.097,
NARF,14.095,
ITGAX,14.093,
ATF6,14.093,
ANXA2R,14.091,
CEP76,14.089,
PGAP3,14.08,
NUDT7,14.077,
SLC26A6,14.068,
OR13C2,14.067,
RLF,14.065,
PRSS38,14.061,
FAM181B,14.06,
FAXDC2,14.052,
VAV3,14.048,
ADM,14.047,
CCDC88C,14.039,
CCDC88B,14.038,
JMJD7,14.038,4.176172649687749
RNASEL,14.037,
SMIM7,14.031,
MUC4,14.021,
NIPA1,14.018,
KIAA0825,14.018,
CPNE6,14.016,
PFN3,14.013,
PCDHB12,14.011,
MMS22L,14.009,
GGT6,14.006,
DMXL1,14.006,
GET1,14.003,
ANGEL1,13.991,
MOB3B,13.986,
ALG12,13.984,
C12orf76,13.984,
ITGB6,13.984,
SESN3,13.973,
LMBRD2,13.969,
CELSR1,13.968,
